pl_name,radius_earth,mass_earth,semi_major_axis_au,period_days,insol_earth,t_eq_K,star_teff_K,star_radius_solar,star_mass_solar,source
2MASS J19383260+4603591 b,13.4508,603.877,0.92,406.0,,,29564.0,0.203,0.48,NASA
2MASS J2002-0521,15.244240000000001,4131.79,,,,1301.0,,,,ExoplanetEU
2MASS J2013-2806,16.690201000000002,1048.839,,,,2560.0,,,,ExoplanetEU
2MASS J2026-2943 b,,20023.289999999997,9.0,,,,,,0.08,ExoplanetEU
2MASS J2033-5635,,4996.2876,,,,,,,,ExoplanetEU
2MASS J2057-0252,11.43318,22108.2548,,,,2044.0,,,,ExoplanetEU
2MASS J2104-1037,11.43318,21799.9597,,,,1994.0,,,,ExoplanetEU
2MASS J2117-2940,15.468419999999998,2224.81,,,,1192.0,,,,ExoplanetEU
2MASS J21252752-8138278 b,12.3299,3813.96,7493.0,,,1616.0,3592.0,0.672832,0.643977,NASA
2MASS J2126+7617,,18434.14,,,,,,,,ExoplanetEU
2MASS J2126+7617 b,,11441.88,1.3,,,,,,,ExoplanetEU
2MASS J2140+1625 b,10.31228,6356.599999999999,3.53,7340.0,,,2300.0,0.1,0.08,ExoplanetEU
2MASS J2148+4003,11.09691,17490.1849,,,,1446.0,,,,ExoplanetEU
2MASS J2154+5942,,11124.05,,,,1190.0,,,,ExoplanetEU
